Date,Open,High,Low,Close
2011.09.19,11506.67,11506.67,11257.33,11401.01
2011.09.20,11401.01,11549.92,11376.64,11408.66
2011.09.21,11408.58,11447.86,11122.8,11124.84
2011.09.22,11113.79,11113.79,10632.56,10674
2011.09.23,10733.83,10733.83,10733.83,10733.83
2012.01.19,12601.88,12625.64,12590.68,12623.98
2012.01.20,12623.3,12720.48,12622.01,12720.48
2012.01.23,12720.17,12764.18,12665.87,12708.82
2012.01.24,12708.44,12708.44,12613.76,12675.75
2012.01.25,12662.35,12778.26,12580.8,12758.85
2012.01.26,12757.18,12841.87,12696.48,12734.63
2012.01.27,12733.72,12733.72,12630.87,12662.96
2012.01.30,12659.32,12659.32,12530.32,12653.72
2012.01.31,12654.78,12719.87,12567.82,12632.91
2012.02.01,12632.76,12784.62,12632.76,12716.46
2012.02.02,12716.54,12741.44,12676.09,12705.41
2012.02.03,12735.84,12869.91,12735.84,12862.23
2012.02.06,12848.68,12848.68,12796.73,12845.13
2012.02.07,12844.44,12903.63,12782.57,12878.2
2012.02.08,12864.73,12893.56,12817.84,12883.95
2012.02.09,12887.43,12924.1,12846.79,12890.46
2012.02.10,12890.46,12890.46,12743.63,12801.23
2012.02.13,12805.7,12887.66,12805.7,12874.04
2012.02.14,12871.92,12878.81,12786.93,12878.28
2012.02.15,12865.41,12898.86,12753.62,12780.95
2012.02.16,12779.58,12914,12779.58,12904.08
2012.02.17,12903.33,12967.85,12903.33,12949.87
2012.02.21,12963.38,13004.59,12926.15,12965.69
2012.02.22,12965.69,12977.72,12914.98,12938.67
2012.02.23,12937.08,12996.08,12883.19,12984.69
2012.02.24,12981.2,13013.75,12950.59,12982.95
2012.02.27,12981.2,13027.37,12883.04,12981.51
2012.02.28,12981.51,13021.13,12953.28,13005.12
2012.02.29,13005.27,13054.16,12936.44,12952.07
2012.03.01,12952.07,13031.46,12943.21,12980.3
2012.03.02,12980.75,12997.44,12927.92,12977.57
2012.03.05,12977.34,12977.34,12883.99,12962.81
2012.03.06,12952.75,12952.75,12735.46,12759.15
2012.03.07,12756.12,12857.61,12751.88,12837.33
2012.03.08,12835.53,12937.19,12835.53,12907.94
2012.03.09,12908.32,12968.72,12906.51,12922.02
2012.03.12,12922.02,12976.21,12920.43,12959.71
2012.03.13,12953.13,13179.12,12953.13,13177.68
2012.03.15,13194.1,13253.36,13171.14,13252.76
2012.03.16,13252.76,13288.02,13231.75,13232.62
2012.03.19,13232.02,13269.48,13208.63,13239.13
2012.03.20,13238.3,13238.3,13123.6,13170.19
2012.03.21,13170.79,13189.79,13112.93,13124.62
2012.03.22,13061.35,13082.81,13017.42,13046.14
2012.03.23,13045.99,13099.91,13002.93,13080.73
2012.03.26,13082.62,13242.99,13082.62,13241.63
2012.03.27,13242.09,13264.9,13194.78,13197.73
2012.03.28,13195.54,13212.64,13069.26,13126.21
2012.03.29,13125.99,13150.55,13032.82,13145.82
2012.03.30,13147.94,13224.49,13147.94,13212.04
2012.04.02,13211.66,13297.03,13153.99,13264.49
2012.04.03,13258.96,13265.28,13131.44,13199.55
2012.04.04,13199.55,13199.55,13021.32,13074.75
2012.04.05,13067.18,13087.96,13012.76,13060.14
2012.04.09,13057.57,13057.57,12904.08,12929.59
2012.04.10,12929.59,12929.59,12710.64,12715.93
2012.04.11,12716.92,12844.33,12716.92,12805.39
2012.04.12,12820.91,12986.88,12820.76,12986.58
2012.04.13,12986.2,12986.2,12845.35,12849.59
2012.04.16,12850.88,12986.77,12850.88,12921.41
2012.04.17,12921.87,13131.25,12921.87,13115.54
2012.04.18,13114.56,13114.56,13027.49,13032.75
2012.04.19,13047.81,13080.12,12896.82,12964.1
2012.04.20,12964.48,13082.54,12964.48,13029.26
2012.04.23,13028.05,13028.05,12847.09,12927.17
2012.04.24,12927.77,13050,12927.77,13001.56
2012.04.25,13002.91,13105.63,13002.91,13090.72
2012.04.26,13090.04,13227.82,13078.28,13204.62
2012.04.27,13204.7,13266.61,13192.44,13228.31
2012.04.30,13228.39,13228.39,13176.05,13213.63
2012.05.01,13214.16,13338.66,13178.57,13279.32
2012.05.02,13279.32,13279.32,13192.93,13268.57
2012.05.03,13268.57,13284.01,13175.64,13206.59
2012.05.04,13204.62,13204.62,13022.41,13038.27
2012.05.07,13036,13049.09,12970,13008.53
2012.05.08,13008.53,13008.53,12810.73,12932.09
